Asset Name;Asset Description;BrandSubbrand;Created;Copyright;Tags;Path to Assets;Archived;New Filename;fileextension;group;clientteam;assettype;assetsubtype;year;campaign;productgroup;product;productsize;productsubtype;productgender;numberofpeople;person;teammarks;gender;shottype;sport;assetstatus;market;platformrights;jobid;No Tags;No Date
GAT_GTQ_12oz_Frost_GlacierFreeze;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Frost_GlacierFreeze.psd;0;GAT_GTQ_12oz_Frost_GlacierFreeze.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Frost_RiptideRush;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Frost_RiptideRush.psd;0;GAT_GTQ_12oz_Frost_RiptideRush.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_Clear_MixedBerry;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_Clear_MixedBerry.psd;0;GAT_GTQ_12oz_G2_Clear_MixedBerry.psd;;PepsiCo;Gatorade;;;2013;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_Clear_TropicalPunch;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_Clear_TropicalPunch.psd;0;GAT_GTQ_12oz_G2_Clear_TropicalPunch.psd;;PepsiCo;Gatorade;;;2013;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_Clear_WatermelonStrawberry;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_Clear_WatermelonStrawberry.psd;0;GAT_GTQ_12oz_G2_Clear_WatermelonStrawberry.psd;;PepsiCo;Gatorade;;;2013;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_FruitPunch;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_FruitPunch.psd;0;GAT_GTQ_12oz_G2_FruitPunch.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_GlacierFreeze;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_GlacierFreeze.psd;0;GAT_GTQ_12oz_G2_GlacierFreeze.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_G2_Grape;;VML;2013-05-21;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_G2_Grape.psd;0;GAT_GTQ_12oz_G2_Grape.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_Berry;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_Berry.psd;0;GAT_GTQ_12oz_Mainline_Berry.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_CoolBlue;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_CoolBlue.psd;0;GAT_GTQ_12oz_Mainline_CoolBlue.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_FruitPunch;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_FruitPunch.psd;0;GAT_GTQ_12oz_Mainline_FruitPunch.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_IcePunch;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_IcePunch.psd;0;GAT_GTQ_12oz_Mainline_IcePunch.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_LemonLime;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_LemonLime.psd;0;GAT_GTQ_12oz_Mainline_LemonLime.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_Orange;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_Orange.psd;0;GAT_GTQ_12oz_Mainline_Orange.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GAT_GTQ_12oz_Mainline_Strawberry;;VML;2013-05-20;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/GAT_GTQ_12oz_Mainline_Strawberry.psd;0;GAT_GTQ_12oz_Mainline_Strawberry.psd;;PepsiCo;Gatorade;;;2013;;GTQ,Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
Gatorade-12oz-28ct-LE-32761046201;;VML;2012-01-01;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/Gatorade-12oz-28ct-LE-32761046201.png;0;Gatorade-12oz-28ct-LE-32761046201.png;;PepsiCo;Gatorade;;;2012;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;Set to Default Date: 2012-01-01
Gatorade-12oz-28ct-LE-Front-32761046201;;VML;2012-01-01;;;Desktop/_To Bynder/Product Renders/GTQ/12 Oz/Gatorade-12oz-28ct-LE-Front-32761046201.png;0;Gatorade-12oz-28ct-LE-Front-32761046201.png;;PepsiCo;Gatorade;;;2012;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;Set to Default Date: 2012-01-01
G_128oz_LSE_Fr_GF_Angle_P_14_33772;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_Fr_GF_Angle_P_14_33772.png;0;G_128oz_LSE_Fr_GF_Angle_P_14_33772.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_Fr_GF_Front_P_14_33772;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_Fr_GF_Front_P_14_33772.png;0;G_128oz_LSE_Fr_GF_Front_P_14_33772.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_FP_Angle_P_14_33775;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_FP_Angle_P_14_33775.png;0;G_128oz_LSE_ML_FP_Angle_P_14_33775.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_FP_Front_P_14_33775;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_FP_Front_P_14_33775.png;0;G_128oz_LSE_ML_FP_Front_P_14_33775.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_LL_Angle_P_14_33776;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_LL_Angle_P_14_33776.png;0;G_128oz_LSE_ML_LL_Angle_P_14_33776.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_LL_Front_P_14_33776;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_LL_Front_P_14_33776.png;0;G_128oz_LSE_ML_LL_Front_P_14_33776.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_OR_Angle_P_14_33777;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_OR_Angle_P_14_33777.png;0;G_128oz_LSE_ML_OR_Angle_P_14_33777.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
G_128oz_LSE_ML_OR_Front_P_14_33777;;VML;2014-11-18;;;Desktop/_To Bynder/Product Renders/GTQ/128 Oz/G_128oz_LSE_ML_OR_Front_P_14_33777.png;0;G_128oz_LSE_ML_OR_Front_P_14_33777.png;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
5200020502CF;;VML;2012-01-01;;;Desktop/_To Bynder/Product Renders/GTQ/16.9 Oz/5200020502CF.PNG;0;5200020502CF.PNG;;PepsiCo;Gatorade;;;2012;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;Set to Default Date: 2012-01-01
5200020502CL;;VML;2012-01-01;;;Desktop/_To Bynder/Product Renders/GTQ/16.9 Oz/5200020502CL.PNG;0;5200020502CL.PNG;;PepsiCo;Gatorade;;;2012;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;Set to Default Date: 2012-01-01
G2_16p9oz_30pk_GRP_GF_FP_Angle_15_10387;;VML;2013-02-04;;;Desktop/_To Bynder/Product Renders/GTQ/16.9 Oz/G2_16p9oz_30pk_GRP_GF_FP_Angle_15_10387.tif;0;G2_16p9oz_30pk_GRP_GF_FP_Angle_15_10387.tif;;PepsiCo;Gatorade;;;2013;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
